strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Easy Skunk,hybrid,0.120,0.001, Spicy, Herbal, Fresh,, Uplifting, Relaxed, Happy, Euphoric, Photoperiod, 8 weeks
Ed Rosenthal Super Bud,hybrid,0.220,0.110, Woody, Spicy, Citrus, Tropical, Talkative, Creative, Cerebral, Strong, Photoperiod, 8-9 weeks
Edam Bomb,hybrid,0.220,0.030, Pineapple, Fruity, Flowery, Skunk, Uplifting, Body-buzz, Cerebral, Balanced, Photoperiod, 8-9 weeks
El Alquimista,hybrid,0.210,0.001, Nutty, Citrus, Spicy, Fruity, Relaxed, Smooth, Cerebral, Strong, Autoflowering, 9 weeks
El Alquimista Autoflowering,sativa,0.220,0.001, Citrus, Lemon, Fruity, Lime, Uplifting, Euphoric, Motivated, Happy, Photoperiod, 9-10 weeks
El Fuego,indica,0.120,0.001, Grape, Spicy, Garlic, Pineapple, Relaxed, Body-buzz, Calming, Long-lasting, Photoperiod, 8-9 weeks
Eldorado,sativa,0.220,0.220, Sweet, Spicy, Earthy,, Cerebral, Energetic, Uplifting, Relaxed, Photoperiod, 8-9 weeks
Eleven Roses,hybrid,0.200,0.090, Citrus, Orange, Diesel, Sweet, Body-buzz, Strong, Relaxed,, Photoperiod, 7 weeks
Enemy Of The State,indica,0.210,0.001, Diesel, Pine, Lemon, Earthy, Relaxed, Body-buzz, Balanced, Euphoric, Photoperiod, 7-8 weeks
Energy Haze,indica,0.070,0.001, Sweet, Spicy,,, Happy, Relaxed, Sociable,, Autoflowering, 8 weeks
Ese T. Bilbo Autoflowering,sativa,0.210,0.001, Musky, Sweet, Earthy,, Clear-headed, Energetic, Cerebral, Euphoric, Photoperiod, 11-12 weeks
Euforia,sativa,0.160,0.001, Woody, Fruity, Fresh,, Energetic, Cerebral, Attentive,, Photoperiod, 10 weeks
Euphoria,hybrid,0.190,0.110, Sweet, Earthy, Tropical, Candy, Cerebral, Energetic, Calming, Relaxed, Photoperiod, 9 weeks
Everest Bud,sativa,0.220,0.001, Spicy, Sweet, Fruity,, Focused, Creative, Uplifting, Energetic, Photoperiod, 8-9 weeks
Ewe-2,sativa,0.090,0.110, Fruity, Orange, Relaxed, Smooth, Calming,,,, Photoperiod, 8-9 weeks
Exodus Cheese,indica,0.180,0.006, Nutty, Citrus, Fruity, Sweet, Couch-lock, Calming, Munchies, Relaxed, Autoflowering, 8 weeks
Exodus Cheese Auto CBD,sativa,0.180,0.001, Citrus, Woody, Spicy, Lemon, Motivated, Relaxed, Happy, Uplifting, Photoperiod, 9 weeks
Exodus Cheese Autoflowering,indica,0.220,0.001, Citrus, Lemon, Diesel, Narcotic, Relaxed, Strong,,, Photoperiod, 9 weeks
Exodus Kush,indica,0.170,0.001, Fresh, Spicy, Berry,, Relaxed, Happy, Calming, Body-buzz, Autoflowering, 9-10 weeks
Exotic Kush,sativa,0.120,0.001, Spicy, Woody,,, Uplifting, Happy, Motivated, Cerebral, Photoperiod, 9-10 weeks
Exotic Thai,hybrid,0.200,0.001, Sweet, Pine, Berry,, Relaxed, Cerebral, Sleepy,, Photoperiod, 8-9 weeks
Expert 47,indica,0.160,0.001, Citrus, Earthy, Lemon,, Couch-lock, Narcotic, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Expert Haze,sativa,0.010,0.200, Fruity, Earthy,,, Relaxed,,,, Autoflowering, 9-10 weeks
F13,sativa,0.230,0.030, Earthy, Fresh, Pine, Flowery, Euphoric, Uplifting, Energetic, Happy, Photoperiod, 14 weeks
Face Melt OG,indica,0.220,0.001, Fruity, Berry, Creative,, Happy, Relaxed, Euphoric,, Photoperiod, 7-8 weeks
Fallen Angel,sativa,0.120,0.001, Sweet, Spicy, Earthy, Fruity, Energetic, Uplifting,,, Photoperiod, 8-11 weeks
Fast Bud Autoflowering,indica,0.220,0.220, Pungent, Sour, Cheese, Sweet, Body-buzz, Relaxed, Calming, Happy, Photoperiod, 7-8 weeks
Fast Caramel,sativa,0.220,0.001, Sweet, Fruity, Strawberry,, Body-buzz, Relaxed, Cerebral, Uplifting, Photoperiod, 8-9 weeks
Fast Eddy Autoflowering,hybrid,0.200,0.001, Sweet, Fruity, Tropical,, Creative, Long-lasting, Relaxed, Body-buzz, Photoperiod, 8 weeks
Fastberry,indica,0.220,0.001, Earthy, Fresh, Flowery,, Long-lasting, Energetic, Cerebral, Uplifting, Photoperiod, 8-9 weeks
Fat Banana,indica,0.120,0.001, Earthy, Sweet,,, Relaxed, Happy, Calming, Sociable, Autoflowering, 8 weeks
First Lady,indica,0.120,0.001, Grape, Vanilla, Pungent,, Sedative, Relaxed, Long-lasting, Body-buzz, Photoperiod, 8-9 weeks
Flash Babylon,sativa,0.120,0.001, Chemical, Honey, Pungent,, Euphoric, Motivated, Energetic, Focused, Photoperiod, 10-11 weeks
Flash Back 2,sativa,0.120,0.001, Earthy, Fresh, Pine,, Euphoric, Cerebral, Happy,, Photoperiod, 8-9 weeks
Flo,indica,0.220,0.001, Lemon, Hashish, Earthy, Kushy, Body-buzz, Happy, Long-lasting, Relaxed, Photoperiod, 9-11 weeks
Florida Gold,indica,0.120,0.001, Sweet, Grape, Berry, Fruity, Body-buzz, Relaxed, Cerebral, Balanced, Photoperiod, 8-9 weeks
Florida Lemons,indica,0.250,0.001, Grapefruit, Coffee, Mint, Fruity, Sweet, Relaxed, Body-buzz, Strong, Photoperiod, 8-9 weeks
Flowerbomb Kush,sativa,0.120,0.001, Citrus, Skunk,,, Uplifting, Cerebral, Focused,, Photoperiod, 9-10 weeks
Fondue,indica,0.120,0.001, Skunk, Garlic, Spicy, Honey, Talkative, Relaxed, Happy, Sociable, Photoperiod, 7-8 weeks
Forest Dream,hybrid,0.120,0.001, Fruity, Grape, Hashish,, Relaxed, Euphoric, Happy, Body-buzz, Photoperiod, 8-9 weeks
Four-Way,sativa,0.220,0.030, Citrus, Lemon,,, Cerebral, Strong, Energetic, Uplifting, Photoperiod, 13-14 weeks
Fraggle Skunk Autoflowering,indica,0.120,0.001, Caramel, Sweet, Candy,, Relaxed, Body-buzz, Happy,, Photoperiod, 8-9 weeks
Franco's Lemon Cheese,indica,0.160,0.030, Earthy, Sweet, Candy,, Relaxed, Euphoric, Calming, Sociable, Autoflowering, 7-8 weeks
Freddy’s Best,hybrid,0.170,0.002, Pungent, Grapefruit, Fruity,, Balanced, Relaxed, Body-buzz, Fuel, Photoperiod, 8 weeks
Freeze Cheese '89,indica,0.120,0.001, Pine, Citrus, Berry,, Relaxed, Happy, Giggly, Body-buzz, Photoperiod, 8-9 weeks
French Cookies,sativa,0.120,0.001, Woody, Citrus, Flowery,, Relaxed, Uplifting,,, Autoflowering, 11-12 weeks
French Macaron,indica,0.210,0.001, Sweet, Candy, Woody,, Balanced, Relaxed, Body-buzz, Vanilla, Photoperiod, 6-7 weeks
Frencheese,sativa,0.120,0.001, Grapefruit, Citrus, Skunk, Earthy, Euphoric, Cerebral, Uplifting, Energetic, Photoperiod, 9-10 weeks
Fresh Candy,sativa,0.120,0.001, Pine, Fresh, Woody,, Motivated, Cerebral, Creative, Uplifting, Photoperiod, 9-10 weeks
Frisian Dew,sativa,0.010,0.150, Herbal, Pine, Diesel,, Smooth, Clear-headed, Body-buzz, Relaxed, Photoperiod, 9-12 weeks
Frisian Duck,sativa,0.150,0.001, Fruity, Sweet,,, Happy, Cerebral, Uplifting,, Autoflowering,
Frosty Friday,indica,0.120,0.001, Herbal, Sweet, Spicy,, Relaxed, Strong, Couch-lock, Happy, Photoperiod, 7-9 weeks
Frosty Kush,sativa,0.190,0.001, Sweet, Fresh, Citrus,, Body-buzz, Energetic, Cerebral, Creative, Autoflowering, 9 weeks
Fruit Autoflowering,hybrid,0.190,0.001, Citrus, Spicy, Sweet, Skunk, Energetic, Euphoric, Cerebral, Relaxed, Photoperiod, 10-11 weeks
Fruit Spirit,indica,0.120,0.001, Cheese, Skunk, Citrus, Hashish, Couch-lock, Body-buzz, Relaxed,, Photoperiod, 9-10 weeks
Fruity Jack,indica,0.170,0.001, Spicy, Sweet, Flowery, Fruity, Relaxed, Happy, Smooth, Calming, Autoflowering, 10-11 weeks
Fruity Juice,sativa,0.120,0.001, Pineapple, Grape,,, Strong, Creative, Uplifting, Happy,,
Fruity Thai,sativa,0.120,0.001, Herbal, Flowery,,, Motivated, Energetic, Focused, Creative, Autoflowering, 10-11 weeks
Full Moon,sativa,0.190,0.001, Citrus, Fruity, Sweet,, Uplifting, Cerebral, Motivated, Body-buzz, Photoperiod, 9-11 weeks
G-Bomb,sativa,0.120,0.001, Strawberry, Cherry, Fruity,, Uplifting, Energetic, Happy, Fuel, Photoperiod, 9-10 weeks
G13,indica,0.180,0.002, Spicy, Diesel, Citrus, Earthy, Long-lasting, Cerebral, Balanced, Euphoric, Photoperiod, 8-9 weeks
G13 Hash Plant,indica,0.120,0.001, Sweet, Fruity, Skunk,, Sleepy, Relaxed, Happy, Calming, Photoperiod, 8-9 weeks
G13 Haze,hybrid,0.250,0.001, Citrus, Flowery,,, Uplifting, Cerebral, Strong,, Photoperiod, 8-9 weeks
G13 Skunk,indica,0.220,0.001, Mint, Earthy, Sweet, Herbal, Euphoric, Sleepy, Happy, Body-buzz, Photoperiod, 7-9 weeks
G13 Widow,hybrid,0.210,0.001, Sweet, Earthy, Kushy, Cheese, Relaxed, Sleepy, Happy,, Photoperiod, 9-10 weeks
G14,indica,0.220,0.001, Spicy, Earthy, Woody,, Sleepy, Calming, Strong, Couch-lock, Autoflowering, 9-10 weeks
GG1,hybrid,0.120,0.001, Earthy, Fruity, Sweet,, Sociable, Happy, Relaxed, Calming, Photoperiod, 7 weeks
Galactic Jack,sativa,0.220,0.001, Diesel, Citrus,,, Relaxed, Cerebral, Uplifting,, Autoflowering, 11 weeks
Galaxy,indica,0.200,0.030, Cypress, Cherry, Chocolate, Almond, Giggly, Relaxed, Happy, Strong, Photoperiod, 8-9 weeks
Ganesh Spirit,hybrid,0.220,0.001, Earthy, Musky, Spicy,, Uplifting, Long-lasting, Energetic, Cerebral, Photoperiod, 7 weeks
Ghingis Khan,sativa,0.080,0.080, Flowery, Woody, Pine,, Calming, Smooth, Relaxed, Body-buzz, Photoperiod, 9-11 weeks
Ghostrider,sativa,0.220,0.001, Skunk, Lime, Sweet, Lemon, Focused, Uplifting, Euphoric, Happy, Photoperiod, 10-14 weeks
Gipsy Haze,hybrid,0.120,0.001, Tropical, Flowery, Sweet, Candy, Balanced, Euphoric, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Gipsy Widow,indica,0.060,0.050, Sweet, Fruity, Citrus,, Sociable, Relaxed, Happy, Calming, Photoperiod, 7 weeks
Girl Scout Cookies,indica,0.180,0.001, Sweet, Licorice, Citrus,, Body-buzz, Relaxed, Narcotic, Happy, Photoperiod, 7-8 weeks
Girl Scout Cookies Autoflowering,indica,0.220,0.001, Sweet, Kushy, Fruity,, Body-buzz, Relaxed, Uplifting, Blueberry, Photoperiod, 8-9 weeks
Girl Scout Haze Cookies,sativa,0.230,0.001, Sweet, Citrus, Musky,, Cerebral, Euphoric, Strong, Uplifting, Photoperiod, 9-10 weeks
Glue Gelato Autoflowering,sativa,0.170,0.001, Sweet, Spicy, Citrus,, Creative, Uplifting, Energetic, Focused, Photoperiod, 8-9 weeks
GlueChee,sativa,0.220,0.001, Grape, Sweet, Fruity, Tropical, Uplifting, Energetic, Trippy, Cerebral, Photoperiod, 9 weeks
Glueberry OG,hybrid,0.120,0.001, Woody, Mint, Happy,, Cerebral, Uplifting,,, Photoperiod, 8-9 weeks
Gnomo Autoflowering,hybrid,0.080,0.070, Sweet, Spicy, Cheese,, Alert, Happy, Relaxed, Calming, Photoperiod, 7-9 weeks
Go Time,indica,0.200,0.001, Lemon, Sour, Fruity,, Clear-headed, Relaxed, Body-buzz, Happy, Photoperiod, 8-9 weeks
God Bud,sativa,0.120,0.001, Skunk, Pungent, Spicy, Earthy, Energetic, Sociable, Relaxed, Uplifting, Autoflowering, 9 weeks
God's Gift,hybrid,0.120,0.001, Cheese, Skunk, Sweet, Pungent, Relaxed, Happy, Giggly,, Photoperiod, 6-8 weeks
Gold Bar Kush,indica,0.120,0.001, Musky, Spicy, Cheese,, Body-buzz, Relaxed, Happy, Strong, Photoperiod, 9 weeks
Gold Rush Outdoor,indica,0.220,0.001, Sweet, Pungent, Herbal,, Strong, Relaxed, Happy, Calming, Photoperiod, 9-10 weeks
Golden Berry,sativa,0.120,0.001, Sweet, Fruity, Tropical,, Sociable, Energetic, Happy, Creative, Photoperiod, 8-9 weeks
Golden Haze,sativa,0.170,0.030, Earthy, Sweet, Pepper, Spicy, Strong, Cerebral, Uplifting, Energetic, Autoflowering, 10-11 weeks
Golden Lemons,hybrid,0.120,0.001, Earthy, Fruity, Sweet, Flowery, Relaxed, Cerebral, Balanced, Calming, Photoperiod, 9-10 weeks
Golden Tiger,indica,0.120,0.001, Sweet, Narcotic,,, Calming, Relaxed,,, Autoflowering, 8-9 weeks
Golosa,indica,0.120,0.001, Flowery, Sweet, Fresh,, Meditative, Relaxed, Dreamy, Body-buzz, Photoperiod, 8-9 weeks
Gorilla,indica,0.220,0.030, Pine, Kushy, Lemon,, Body-buzz, Euphoric, Relaxed,, Photoperiod, 7-8 weeks
Gorilla Bomb,indica,0.120,0.001, Flowery, Fresh, Pineapple,, Smooth, Relaxed, Body-buzz, Calming, Photoperiod, 6 weeks
Gorilla Glue,sativa,0.120,0.001, Sour, Lemon, Pine,, Cerebral, Uplifting,,, Photoperiod, 10 weeks
Gorilla Glue Autoflowering,hybrid,0.050,0.001, Fruity, Pineapple, Tropical,, Motivated, Relaxed,,, Autoflowering, 10-11 weeks
Gorilla Zkittlez,hybrid,0.120,0.001, Earthy, Lemon, Fresh,, Balanced, Relaxed, Body-buzz, Uplifting, Photoperiod, 8-9 weeks
Goxuak Autoflowering,hybrid,0.120,0.001, Earthy, Berry, Mint, Citrus, Motivated, Euphoric, Uplifting, Giggly, Photoperiod, 8-9 weeks
Grand Daddy Purp,hybrid,0.120,0.001, Earthy, Spicy, Sage, Sandalwood, Balanced, Relaxed, Body-buzz, Euphoric, Photoperiod, 9-10 weeks
Grand OG,hybrid,0.120,0.001, Sweet, Vanilla, Melon, Musky, Relaxed, Sociable, Dreamy, Happy, Photoperiod, 8-9 weeks
Grandaddy Purple S1,hybrid,0.200,0.001, Pine, Sweet,,, Long-lasting, Relaxed, Happy, Uplifting, Photoperiod, 9 weeks
Grandaddy White,sativa,0.220,0.001, Citrus, Fruity, Grape,, Euphoric, Uplifting, Energetic, Sociable, Photoperiod, 9 weeks
Grandoggy Purps,sativa,0.120,0.001, Earthy, Fresh, Sour, Flowery, Body-buzz, Cerebral, Uplifting,, Autoflowering, 10 weeks
Grape Krush,sativa,0.200,0.001, Lemon, Pine, Citrus, Sweet, Cerebral, Uplifting, Couch-lock, Relaxed, Photoperiod, 9-10 weeks
Grape Kush,sativa,0.220,0.001, Sweet, Fruity, Citrus,, Uplifting, Happy, Sociable, Talkative, Photoperiod, 8-11 weeks
Grape Lime Ricky,sativa,0.120,0.001, Earthy, Fresh, Nutty,, Meditative, Energetic, Cerebral, Euphoric, Photoperiod, 10-12 weeks
Grape Muerte Autoflowering,hybrid,0.120,0.001, Pine, Lemon, Pineapple,, Balanced, Relaxed, Body-buzz, Cerebral, Photoperiod, 7-9 weeks
Grape OG,hybrid,0.180,0.008, Pungent, Skunk,,, Uplifting, Balanced, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
Grapefruit Autoflowering,indica,0.210,0.004, Sweet, Chocolate, Spicy,, Body-buzz, Relaxed, Narcotic, Sleepy, Photoperiod, 8-9 weeks
Grapefruit Cheese,indica,0.070,0.001, Earthy, Herbal, Happy,, Relaxed, Body-buzz,,, Autoflowering, 8-9 weeks
Grapefruit Diesel,sativa,0.120,0.001, Grape, Diesel, Candy, Citrus, Energetic, Uplifting, Happy, Cerebral, Autoflowering, 10 weeks
Grapefruit Haze,hybrid,0.200,0.001, Spicy, Citrus,,, Cerebral, Energetic, Uplifting, Trippy, Photoperiod, 9 weeks
Grapefruit Kush,indica,0.180,0.001, Sweet, Fruity,,, Creative, Relaxed, Motivated,, Photoperiod, October
Grapegod,hybrid,0.220,0.220, Spicy, Fruity, Herbal, Mint, Euphoric, Calming, Happy, Creative, Photoperiod, 8-9 weeks
Grapegod x Blueberry,hybrid,0.120,0.001, Earthy, Skunk, Berry, Tropical, Cerebral, Uplifting, Energetic, Strong, Photoperiod, 9 weeks
Grapegod x Master Kush,sativa,0.220,0.001, Woody, Spicy, Sweet,, Focused, Uplifting, Happy, Cerebral, Autoflowering, 12 weeks
Grateful Casey,indica,0.240,0.010, Earthy, Hashish, Berry, Herbal, Sociable, Body-buzz, Strong, Relaxed, Photoperiod, 8-9 weeks
Great White Shark,sativa,0.160,0.001, Citrus, Sweet, Spicy,, Uplifting, Cerebral, Happy, Strong, Autoflowering, 10-12 weeks
Great White Shark CBD,sativa,0.130,0.001, Fruity, Sweet,,, Calming, Relaxed, Sociable,, Autoflowering, 10-11 weeks
Green AK XL,indica,0.100,0.070, Sweet, Fruity,,, Calming, Cerebral, Relaxed, Euphoric, Photoperiod, 8-9 weeks
Green AK XL Autoflowering,indica,0.010,0.100, Pine, Citrus, Lemon,, Relaxed, Calming,,, Photoperiod, 7-10 weeks
Green Crack,hybrid,0.160,0.001, Fruity, Strawberry, Candy, Sweet, Calming, Sociable, Happy, Relaxed, Photoperiod, 6-7 weeks
Green Crack CBD,indica,0.120,0.001, Spicy, Earthy, Herbal,, Relaxed, Sedative, Body-buzz,, Photoperiod, 9 weeks
Green Crack Punch,indica,0.220,0.001, Fruity, Sweet,,, Relaxed, Euphoric, Cerebral, Motivated, Photoperiod, 8-9 weeks
Green Gelato,hybrid,0.080,0.100, Tropical, Woody, Citrus, Lemon, Relaxed, Calming, Creative,, Photoperiod, 9 weeks
Green Gummy,hybrid,0.180,0.030, Pungent, Sweet, Earthy,, Uplifting, Relaxed, Balanced, Strong, Photoperiod, 7-8 weeks
Green House Thai,indica,0.120,0.001, Musky, Grape,,, Relaxed, Body-buzz, Calming,, Photoperiod, 7-9 weeks
Green Magic,indica,0.160,0.001, Lavender, Pine, Lemon, Citrus, Cerebral, Trippy,,, Photoperiod, 8-9 weeks
Green Poison,hybrid,0.190,0.001, Spicy, Fruity, Citrus, Fresh, Balanced, Relaxed, Dreamy, Creative, Photoperiod, 8 weeks
Green Poison - F1 Fast Version,sativa,0.220,0.001, Sour, Herbal, Earthy, Lemon, Cerebral, Energetic, Uplifting, Relaxed, Photoperiod, 7-8 weeks
Green Poison Autoflowering,sativa,0.220,0.001, Sweet, Earthy, Pungent,, Creative, Sociable, Energetic, Uplifting, Photoperiod, 10-12 weeks
Green Poison CBD,hybrid,0.120,0.001, Sweet, Fruity, Citrus,, Body-buzz, Motivated, Cerebral, Uplifting, Photoperiod, 10 weeks
Green Poison XL Autoflowering,sativa,0.180,0.004, Skunk, Cheese, Spicy, Sweet, Relaxed, Cerebral, Calming, Body-buzz, Autoflowering, 8 weeks
Green-O-Matic,indica,0.180,0.001, Skunk, Sweet, Fruity,, Sociable, Relaxed, Munchies, Uplifting, Photoperiod, 8 weeks
Guava Berry Kush,sativa,0.120,0.001, Earthy, Berry,,, Energetic, Long-lasting, Cerebral,, Photoperiod, 9-10 weeks
Guayaka,sativa,0.170,0.004, Fruity, Diesel, Citrus,, Cerebral, Uplifting, Energetic,, Autoflowering, 11-12 weeks
Guerrilla’s Gusto,indica,0.190,0.030, Spicy, Woody, Strawberry,, Narcotic, Relaxed, Strong, Sleepy, Photoperiod, 8-9 weeks
Guillotine,indica,0.120,0.001, Fruity, Spicy,,, Calming, Relaxed, Happy,, Photoperiod, 8-9 weeks
Gummy Bears,sativa,0.120,0.220, Diesel, Spicy, Earthy,, Relaxed, Sleepy, Calming,, Photoperiod, 9-10 weeks
Gypsy Kush,indica,0.120,0.001, Fruity, Sweet, Blueberry,, Long-lasting, Euphoric, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Haoma,indica,0.120,0.001, Chemical, Pungent, Diesel,, Relaxed, Happy, Calming,, Photoperiod, 8-9 weeks
Happy Brother BX2,indica,0.120,0.001, Sweet, Earthy, Citrus, Pungent, Relaxed, Uplifting, Euphoric,, Photoperiod, 9 weeks
Hash Bomb,hybrid,0.190,0.001, Fresh, Citrus, Sweet, Cypress, Long-lasting, Body-buzz, Relaxed, Happy, Photoperiod, 7-8 weeks
Hash Heaven,sativa,0.220,0.001, Fruity, Citrus,,, Uplifting, Energetic, Relaxed, Cerebral, Autoflowering, 9-10 weeks
Hash Plant,hybrid,0.220,0.220, Hashish, Lemon, Fuel,, Relaxed, Body-buzz, Uplifting, Balanced, Photoperiod, 8-9 weeks
Hash Ultimate,hybrid,0.220,0.030, Cheese, Diesel, Citrus, Fruity, Euphoric, Sociable, Talkative,, Photoperiod, 8-9 weeks
Hawaii Maui Waui,hybrid,0.150,0.030, Spicy, Sour,,, Cerebral, Relaxed, Trippy,, Autoflowering, 7-8 weeks
Hawaiian Haze,hybrid,0.180,0.001, Earthy, Woody, Pine, Caramel, Body-buzz, Relaxed, Sociable, Happy, Photoperiod, 9-10 weeks
Hawaiian Snow,indica,0.140,0.220, Flowery, Fresh, Pungent, Lemon, Relaxed, Body-buzz, Euphoric,, Photoperiod, 7-8 weeks
Haze 2.0 Autoflowering,sativa,0.120,0.001, Spicy, Earthy, Fresh,, Euphoric, Cerebral, Energetic, Uplifting, Photoperiod, 14-16 weeks
Haze Autoflowering CBD,sativa,0.120,0.001, Flowery, Fresh, Earthy, Spicy, Relaxed, Body-buzz, Cerebral, Balanced, Photoperiod, 8-10 weeks
Haze Berry,indica,0.200,0.007, Candy, Citrus,,, Relaxed, Couch-lock, Euphoric,, Photoperiod, 9 weeks
Haze Gom,hybrid,0.220,0.001, Fruity, Spicy, Herbal,, Relaxed, Uplifting, Euphoric, Cerebral, Autoflowering, 11-12 weeks
Haze Mist,indica,0.220,0.001, Fruity, Spicy, Herbal, Citrus, Happy, Relaxed, Calming,, Photoperiod, 7-8 weeks
Haze XXL Autoflowering,hybrid,0.190,0.001, Chocolate, Skunk, Sweet,, Cerebral, Calming, Relaxed,, Autoflowering, 9 weeks
Head Cheese,hybrid,0.120,0.001, Sweet, Skunk, Citrus, Banana, Sociable, Relaxed, Happy, Calming, Photoperiod, 9 weeks
Headband,indica,0.180,0.001, Fruity, Fresh, Sweet,, Body-buzz, Happy, Relaxed,, Autoflowering, 9-11 weeks
Headbanger,hybrid,0.120,0.001, Sweet, Pungent, Cheese,, Relaxed, Body-buzz, Energetic, Cerebral, Photoperiod, 8-11 weeks
Heavy Bud,indica,0.220,0.030, Berry, Sweet, Candy, Chocolate, Long-lasting, Body-buzz, Relaxed, Happy, Autoflowering, 11-12 weeks
Hell’s Bells,hybrid,0.220,0.030, Herbal, Tropical, Banana, Kushy, Relaxed, Strong, Creative, Sleepy, Photoperiod, 8-9 weeks
Hemmy Black,indica,0.170,0.001, Fruity, Berry, Musky, Cheese, Relaxed, Giggly, Sociable, Happy, Autoflowering, 9-10 weeks
Herijuana Jack 33,indica,0.120,0.001, Spicy, Earthy, Sweet,, Relaxed, Body-buzz, Calming, Balanced, Autoflowering, 11-13 weeks
High Level,sativa,0.220,0.001, Citrus, Sweet,,, Trippy, Uplifting, Energetic, Euphoric, Photoperiod, 9-11 weeks
Hijack Autoflowering,sativa,0.160,0.030, Strawberry, Vanilla, Sweet, Lemon, Long-lasting, Euphoric, Cerebral, Uplifting, Photoperiod, 9-12 weeks
Himalaya Gold,indica,0.170,0.001, Pungent, Berry, Sweet, Sweet, Trippy, Happy, Relaxed, Uplifting, Autoflowering, 9 weeks
Hindu Cream,indica,0.190,0.010, Citrus, Berry, Sweet, Sweet, Sleepy, Calming, Relaxed,, Autoflowering, 9 weeks
Hindu Kush,sativa,0.190,0.001, Musky, Lemon, Flowery, Flowery, Energetic, Uplifting, Motivated,, Photoperiod, 9-10 weeks
Hindu Kush Autoflowering,sativa,0.200,0.001, Citrus, Sweet, Fresh,, Strong, Energetic, Uplifting, Trippy, Photoperiod, 13-14 weeks
Hollands Hope,sativa,0.120,0.001, Diesel, Skunk, Sweet, Pine, Happy, Euphoric, Uplifting, Relaxed, Photoperiod, 9 weeks
Holy Grail 69,sativa,0.130,0.001, Sweet, Fruity,,, Energetic, Euphoric, Cerebral,, Photoperiod, 9-11 weeks
Holy Grail Kush,hybrid,0.120,0.001, Sweet, Chocolate, Earthy, Cherry, Relaxed, Happy, Calming,, Photoperiod, 7 weeks
Holy Punch,hybrid,0.150,0.010, Berry, Sweet, Fruity,, Uplifting, Balanced, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
Honey B,sativa,0.240,0.030, Citrus, Fruity, Berry,, Energetic, Uplifting,,, Photoperiod, 9-10 weeks
Honey Bananas,hybrid,0.180,0.001, Citrus, Fruity,,, Balanced, Euphoric, Body-buzz, Relaxed, Photoperiod, 8-10 weeks
Honey Cream - Fast Flowering,hybrid,0.140,0.001, Citrus, Woody, Skunk, Spicy, Uplifting, Euphoric, Relaxed,, Photoperiod, 7-8 weeks
Honey Peach Auto CBD,sativa,0.120,0.001, Berry, Spicy, Fuel, Citrus, Energetic, Clear-headed, Euphoric,, Photoperiod, 9-10 weeks
Honeybells,sativa,0.180,0.010, Citrus, Fresh,,, Euphoric, Long-lasting, Energetic, Cerebral, Photoperiod, 11-12 weeks
Houchie Kouchie Kush,sativa,0.110,0.220, Fresh, Citrus, Fruity,, Calming, Cerebral, Motivated, Clear-headed, Autoflowering, 10-11 weeks
HulkBerry,sativa,0.140,0.010, Sweet, Pine, Tropical,, Cerebral, Euphoric, Uplifting, Talkative, Photoperiod, 10 weeks
Hurkle,sativa,0.120,0.001, Fruity, Pine,,, Cerebral, Uplifting, Motivated,, Autoflowering, 9-10 weeks
ICE,indica,0.120,0.001, Earthy, Skunk, Hashish, Pungent, Relaxed, Long-lasting, Body-buzz, Mellow, Photoperiod, 8-10 weeks
ICED Grapefruit,indica,0.160,0.030, Fruity, Spicy, Woody,, Sociable, Happy, Relaxed, Attentive, Photoperiod, 6 weeks
Ice Cool,indica,0.250,0.001, Diesel, Pine, Citrus, Earthy, Long-lasting, Relaxed, Body-buzz, Balanced, Photoperiod, 8-9 weeks
Ice Cool Autoflowering,indica,0.220,0.001, Sweet, Pungent, Earthy,, Narcotic, Long-lasting, Relaxed, Body-buzz, Photoperiod, 8 weeks
Ice Cool CBD,hybrid,0.120,0.001, Earthy, Sweet, Spicy,, Relaxed, Talkative, Happy, Body-buzz, Autoflowering, 9-10 weeks
Ice Cream,indica,0.120,0.001, Sweet, Kushy, Fruity, Creamy, Body-buzz, Energetic, Happy, Euphoric, Photoperiod, 8-10 weeks
Ice Kush,indica,0.150,0.001, Candy, Sweet, Fruity, Strawberry, Relaxed, Body-buzz, Smooth, Calming, Autoflowering, 8 weeks
